Initialising trial 0, Alpha policy = 2.551143781407052e-07, Alpha baseline = 1.0116644596465963e-13

Initialising trial 1, Alpha policy = 3.3954377544006882e-09, Alpha baseline = 4.27320369530231e-08

Initialising trial 2, Alpha policy = 3.986949587935882e-09, Alpha baseline = 2.770795178243995e-09

Initialising trial 3, Alpha policy = 1.0928297286816009e-10, Alpha baseline = 5.705530231360086e-10

Trial 8, Step: 160	Avg: -4689.512038999224	Alpha_policy: 1.0255724111170528e-12	Alpha_baseline: 5.65231027206948e-08
Trial 5, Step: 110	Avg: -10000.0	Alpha_policy: 3.250382801990385e-13	Alpha_baseline: 2.5690082583939232e-11
Trial 7, Step: 210	Avg: -4272.962437157869	Alpha_policy: 4.841462499171944e-09	Alpha_baseline: 2.629480143233319e-12
Trial 8, Step: 170	Avg: -4566.8012439682625	Alpha_policy: 1.0245473000904739e-12	Alpha_baseline: 5.646660504658876e-08
Trial 7, Step: 220	Avg: -4267.925020661504	Alpha_policy: 4.8366232147500245e-09	Alpha_baseline: 2.6268518460406674e-12
Trial 8, Step: 180	Avg: -4445.988162203068	Alpha_policy: 1.0235232137137445e-12	Alpha_baseline: 5.641016384473964e-08
Trial 8, Step: 190	Avg: -4350.375931150985	Alpha_policy: 1.0225001509626755e-12	Alpha_baseline: 5.63537790587006e-08
Trial 6, Step: 60	Avg: -10000.0	Alpha_policy: 2.474404297800397e-08	Alpha_baseline: 2.1977827350871008e-07
Trial 7, Step: 230	Avg: -4247.870407159506	Alpha_policy: 4.831788767435428e-09	Alpha_baseline: 2.624226175962791e-12
Trial 7, Step: 240	Avg: -4211.362903938219	Alpha_policy: 4.826959152393225e-09	Alpha_baseline: 2.6216031303737553e-12
Trial 8, Step: 200	Avg: -4422.249654874044	Alpha_policy: 1.021478110814102e-12	Alpha_baseline: 5.629745063208122e-08
Trial 5, Step: 120	Avg: -10000.0	Alpha_policy: 3.2471338814706776e-13	Alpha_baseline: 2.5664404058810184e-11
Trial 8, Step: 210	Avg: -4295.223236297746	Alpha_policy: 1.020457092245882e-12	Alpha_baseline: 5.624117850854742e-08
Trial 7, Step: 250	Avg: -4235.0307283509965	Alpha_policy: 4.822134364793316e-09	Alpha_baseline: 2.6189827066502528e-12
Initialising trial 8, Alpha policy = 1.2866949423492055e-10, Alpha baseline = 2.5060536456650986e-10

[I 2019-11-14 00:12:17,894] Finished trial#6 resulted in value: -4235.0307283509965. Current best value is -4235.0307283509965 with parameters: {'alpha_policy': 4.9442134580980425e-09, 'alpha_baseline': 2.6852859263495935e-12}.
Trial 8, Step: 220	Avg: -4130.339631544189	Alpha_policy: 1.0194370942368942e-12	Alpha_baseline: 5.618496263182145e-08
Trial 8, Step: 230	Avg: -4071.6569847156256	Alpha_policy: 1.0184181157670388e-12	Alpha_baseline: 5.61288029456818e-08
Trial 6, Step: 70	Avg: -10000.0	Alpha_policy: 2.4719310066876547e-08	Alpha_baseline: 2.195585941090557e-07
[I 2019-11-14 00:13:30,343] Setting status of trial#5 as TrialState.PRUNED.
Initialising trial 9, Alpha policy = 8.957637691603282e-09, Alpha baseline = 1.2673663633831078e-09

Trial 8, Step: 240	Avg: -3953.8896277442764	Alpha_policy: 1.0174001558172353e-12	Alpha_baseline: 5.6072699393963165e-08
Trial 10, Step: 10	Avg: -9370.128223248274	Alpha_policy: 8.948684083773914e-09	Alpha_baseline: 1.266099567182531e-09
Trial 5, Step: 130	Avg: -10000.0	Alpha_policy: 3.243888208409866e-13	Alpha_baseline: 2.5638751200654013e-11
[I 2019-11-14 00:14:24,510] Setting status of trial#4 as TrialState.PRUNED.
Initialising trial 10, Alpha policy = 1.987725695459999e-08, Alpha baseline = 1.0280180810773268e-11

Trial 8, Step: 250	Avg: -3977.0731528805477	Alpha_policy: 1.0163832133694217e-12	Alpha_baseline: 5.601665192055638e-08
[I 2019-11-14 00:14:32,879]Initialising trial 11, Alpha policy = 2.3407443411797503e-07, Alpha baseline = 3.368090616559438e-12

 Finished trial#7 resulted in value: -3977.0731528805477. Current best value is -3977.0731528805477 with parameters: {'alpha_policy': 1.0421143796438824e-12, 'alpha_baseline': 5.7434792013531885e-08}.
Trial 9, Step: 10	Avg: -10000.0	Alpha_policy: 1.285408826265204e-10	Alpha_baseline: 2.5035487194429005e-10
Trial 10, Step: 20	Avg: -8847.88051264352	Alpha_policy: 8.939739425524326e-09	Alpha_baseline: 1.2648340372082483e-09
Trial 12, Step: 10	Avg: -9377.161434528263	Alpha_policy: 2.3384046498926846e-07	Alpha_baseline: 3.364724041179557e-12
